type,feature,magnitude,mae_normal,mae_anomaly,snr,maha_dist,is_freeze,detected_recon,detected_maha,detected
drift_end,ejection,0.1,0.03376588225364685,0.03376588225364685,0.999999970384308,85.39230242215243,True,False,True,True
drift_end,ejection,0.1,0.008856331929564476,0.008856331929564476,0.999999887086449,3.0419669234477524,True,False,False,True
drift_end,ejection,0.1,0.03358190506696701,0.03358190506696701,0.9999999702220596,85.32636271113196,True,False,True,True
drift_end,ejection,0.1,0.03523930162191391,0.03523930162191391,0.9999999716225939,85.2599891469087,True,False,True,True
drift_end,ejection,0.1,0.00896474253386259,0.00896474253386259,0.9999998884519121,3.745580833838374,True,False,False,True
drift_end,ejection,0.1,0.009121173061430454,0.009121173061430454,0.999999890364991,3.030336627825411,True,False,False,True
drift_end,ejection,0.1,0.007306150160729885,0.007306150160729885,0.9999998631290294,2.531516144164852,True,False,False,True
drift_end,ejection,0.1,0.018967393785715103,0.018967393785715103,0.9999999472779467,0.7717534507866269,True,False,False,True
drift_end,ejection,0.1,0.010492616333067417,0.010492616333067417,0.9999999046948947,4.0966006139578175,True,False,False,True
drift_end,ejection,0.1,0.07482311129570007,0.07482311129570007,0.9999999866351457,83.93530595778455,True,True,True,True
drift_end,ejection,0.1,0.012305611744523048,0.012305611744523048,0.9999999187362694,3.8185620569046916,True,False,False,True
drift_end,ejection,0.1,0.016042858362197876,0.016042858362197876,0.9999999376669721,0.7957399669831151,True,False,False,True
drift_end,ejection,0.1,0.01182490773499012,0.01182490773499012,0.9999999154327511,4.100339088729415,True,False,False,True
drift_end,ejection,0.1,0.006698134820908308,0.006698134820908308,0.9999998507047293,1.6326702749818072,True,False,False,True
drift_end,ejection,0.1,0.00758140254765749,0.00758140254765749,0.9999998680983021,1.399483424497607,True,False,False,True
drift_end,ejection,0.1,0.01555499155074358,0.01555499155074358,0.999999935711959,4.605769453280663,True,False,False,True
drift_end,ejection,0.1,0.006500124931335449,0.006500124931335449,0.9999998461568267,2.255389662606152,True,False,False,True
drift_end,ejection,0.1,0.009751513600349426,0.009751513600349426,0.9999998974518277,1.2254843647254696,False,False,False,False
drift_end,ejection,0.1,0.006532362662255764,0.006532362662255764,0.9999998469160549,2.3836347727203764,True,False,False,True
drift_end,ejection,0.1,0.014948893338441849,0.014948893338441849,0.9999999331054206,0.851382584462069,True,False,False,True
drift_end,ejection,0.1,0.08127842098474503,0.08127842098474503,0.9999999876966116,75.21598587245667,True,True,True,True
drift_end,ejection,0.1,0.04763875901699066,0.04763875901699066,0.9999999790086895,20.720744693595645,True,True,True,True
drift_end,ejection,0.1,0.011917438358068466,0.011917438358068466,0.999999916089357,4.075897409905504,True,False,False,True
drift_end,ejection,0.1,0.08049099147319794,0.08049099147319794,0.9999999875762496,75.50112084998102,True,True,True,True
drift_end,ejection,0.1,0.033925529569387436,0.033925529569387436,0.999999970523674,85.31782015020138,True,False,True,True
drift_end,ejection,0.1,0.07857425510883331,0.07857425510883331,0.9999999872731853,77.04071217336536,True,True,True,True
drift_end,ejection,0.1,0.0750364363193512,0.0750364363193512,0.9999999866731413,83.87507666864036,True,True,True,True
drift_end,ejection,0.1,0.004796178080141544,0.004796178080141544,0.999999791500696,4.63961909096888,True,False,False,True
drift_end,ejection,0.1,0.006689889822155237,0.006689889822155237,0.9999998505207294,2.1963640111524803,True,False,False,True
drift_end,ejection,0.1,0.013971748761832714,0.013971748761832714,0.9999999284270034,4.320302962615391,True,False,False,True
drift_end,ejection,0.1,0.009084849618375301,0.009084849618375301,0.9999998899266437,0.9500729859877564,True,False,False,True
spike,dynamic_tensile_strength,0.25,0.007170225027948618,0.01359050814062357,1.895408608828999,1.6958984848564567,True,False,False,True
spike,dynamic_tensile_strength,0.25,0.03402945399284363,0.03764330595731735,1.1061977326769916,85.36841285632912,True,True,True,True
spike,dynamic_tensile_strength,0.25,0.005360377486795187,0.010848098434507847,2.023756057754348,4.033338371182095,True,False,False,True
spike,dynamic_tensile_strength,0.25,0.016557270660996437,0.022012609988451004,1.3294829268463098,2.276899971708832,True,False,False,True
spike,dynamic_tensile_strength,0.25,0.00933426059782505,0.014679870568215847,1.572686860590704,2.480132004345734,True,False,False,True
spike,dynamic_tensile_strength,0.25,0.009995975531637669,0.015300790779292583,1.5306949481989043,2.7999477873484935,True,False,False,True
spike,dynamic_tensile_strength,0.25,0.006320582237094641,0.012114180251955986,1.9166237983956156,2.2584849735588866,True,False,False,True
spike,dynamic_tensile_strength,0.25,0.019599882885813713,0.021933412179350853,1.1190582713209916,4.2793390016213335,True,False,False,True
spike,dynamic_tensile_strength,0.25,0.007146004121750593,0.013570847921073437,1.899081751252498,3.7592754061980584,True,False,False,True
